,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-2.6160502433776855,-1.3276978731155396,-2.7166333,-1.6541344
1,33.0,-3.0242795944213867,-0.8722912669181824,-2.572885751724243,-1.3287955522537231,-2.7166333,-1.6541344
2,67.0,-3.0242795944213867,-0.8722912669181824,-2.586941719055176,-1.599491834640503,-2.6160502,-1.5994918
3,100.0,-3.0242795944213867,-0.8722912669181824,-2.46597957611084,-1.270491123199463,-2.5869417,-1.5994918
4,133.0,-3.0242795944213867,-0.8722912669181824,-2.482750415802002,-1.4586530923843384,-2.5869417,-1.5994918
5,167.0,-3.0242795944213867,-0.8722912669181824,-2.416694402694702,-1.2823944091796875,-2.4827504,-1.4586531
6,200.0,-3.0242795944213867,-0.8722912669181824,-2.5250115394592285,-1.4400752782821655,-2.5250115,-1.4586531
7,233.0,-3.0242795944213867,-0.8722912669181824,-2.4316985607147217,-1.3191301822662354,-2.4827504,-1.4400753
8,267.0,-3.0242795944213867,-0.8722912669181824,-2.6838178634643555,-1.3570736646652222,-2.5250115,-1.4400753
9,300.0,-3.0242795944213867,-0.8722912669181824,-2.41780424118042,-1.2848573923110962,-2.4827504,-1.3570737
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.6333670616149902,-1.279091477394104,-2.5250115,-1.3570737
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.6076982021331787,-1.2880996465682983,-2.5250115,-1.2880996
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.5606768131256104,-1.291163444519043,-2.5606768,-1.2911634
13,433.0,-3.0242795944213867,-0.8722912669181824,-2.658555030822754,-1.3568804264068604,-2.5606768,-1.2911634
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.485924482345581,-1.2272378206253052,-2.5606768,-1.2911634
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.533018112182617,-1.2892370223999023,-2.5606768,-1.2911634
16,533.0,-3.0242795944213867,-0.8722912669181824,-2.4550814628601074,-1.2242136001586914,-2.533018,-1.289237
17,567.0,-3.0242795944213867,-0.8722912669181824,-2.5079028606414795,-1.163475513458252,-2.533018,-1.289237
18,600.0,-3.0242795944213867,-0.8722912669181824,-2.5595571994781494,-1.3866246938705444,-2.533018,-1.289237
19,633.0,-3.0242795944213867,-0.8722912669181824,-2.6386477947235107,-1.385962724685669,-2.533018,-1.289237
20,667.0,-3.0242795944213867,-0.8722912669181824,-2.5863406658172607,-1.505773663520813,-2.5595572,-1.3859627
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.6679766178131104,-1.5505101680755615,-2.5863407,-1.3859627
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.6437501907348633,-1.3837288618087769,-2.5863407,-1.3859627
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.614619016647339,-1.2415680885314941,-2.614619,-1.3859627
24,800.0,-3.0242795944213867,-0.8722912669181824,-2.5621745586395264,-1.399480938911438,-2.5863407,-1.3859627
25,833.0,-3.0242795944213867,-0.8722912669181824,-2.5933339595794678,-1.3222728967666626,-2.593334,-1.3859627
26,867.0,-3.0242795944213867,-0.8722912669181824,-2.655996561050415,-1.3756660223007202,-2.593334,-1.3859627
27,900.0,-3.0242795944213867,-0.8722912669181824,-2.5364906787872314,-1.206818699836731,-2.593334,-1.375666
28,933.0,-3.0242795944213867,-0.8722912669181824,-2.7724153995513916,-1.343608021736145,-2.593334,-1.375666
29,967.0,-3.0242795944213867,-0.8722912669181824,-2.7544562816619873,-1.3134289979934692,-2.593334,-1.343608
30,1000.0,-3.0242795944213867,-0.8722912669181824,-2.603250026702881,-1.284789800643921,-2.60325,-1.343608
31,1033.0,-3.0242795944213867,-0.8722912669181824,-2.7548487186431885,-1.4241594076156616,-2.60325,-1.343608
32,1067.0,-3.0242795944213867,-0.8722912669181824,-2.525371789932251,-1.2068244218826294,-2.60325,-1.343608
33,1100.0,-3.0242795944213867,-0.8722912669181824,-2.4865028858184814,-1.2478724718093872,-2.60325,-1.343608
34,1133.0,-3.0242795944213867,-0.8722912669181824,-2.5148813724517822,-1.244022250175476,-2.5253718,-1.2478725
35,1167.0,-3.0242795944213867,-0.8722912669181824,-2.8654348850250244,-1.3191286325454712,-2.60325,-1.3191286
36,1200.0,-3.0242795944213867,-0.8722912669181824,-2.815608024597168,-1.1232481002807617,-2.60325,-1.2478725
37,1233.0,-3.0242795944213867,-0.8722912669181824,-2.740964651107788,-1.107116937637329,-2.7409647,-1.2478725
38,1267.0,-3.0242795944213867,-0.8722912669181824,-2.572049856185913,-1.1327533721923828,-2.60325,-1.1327534
39,1300.0,-3.0242795944213867,-0.8722912669181824,-2.738090991973877,-1.0822566747665405,-2.738091,-1.1327534
40,1333.0,-3.0242795944213867,-0.8722912669181824,-2.707693338394165,-1.0335177183151245,-2.7076933,-1.1327534
41,1367.0,-3.0242795944213867,-0.8722912669181824,-2.755807876586914,-1.1454628705978394,-2.738091,-1.1327534
42,1400.0,-3.0242795944213867,-0.8722912669181824,-2.6855108737945557,-1.0492627620697021,-2.7076933,-1.1327534
43,1433.0,-3.0242795944213867,-0.8722912669181824,-2.717885971069336,-1.0062566995620728,-2.717886,-1.1327534
44,1467.0,-3.0242795944213867,-0.8722912669181824,-2.6237246990203857,-1.164586067199707,-2.7076933,-1.1327534
45,1500.0,-3.0242795944213867,-0.8722912669181824,-2.656693696975708,-1.2185066938400269,-2.7076933,-1.1327534
