,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-3.14164400100708,-1.3482446670532227,-3.141644,-1.4279706
1,33.0,-3.0242795944213867,-0.8722912669181824,-3.1781349182128906,-1.3269031047821045,-3.178135,-1.4046304
2,67.0,-3.0242795944213867,-0.8722912669181824,-3.2568280696868896,-1.3096954822540283,-3.178135,-1.3482447
3,100.0,-3.0242795944213867,-0.8722912669181824,-3.2931830883026123,-1.301145076751709,-3.178135,-1.3269031
4,133.0,-3.0242795944213867,-0.8722912669181824,-3.3677611351013184,-1.3157918453216553,-3.256828,-1.3157918
5,167.0,-3.0242795944213867,-0.8722912669181824,-3.311666250228882,-1.3278416395187378,-3.293183,-1.3269031
6,200.0,-3.0242795944213867,-0.8722912669181824,-3.210451126098633,-1.4226759672164917,-3.256828,-1.3269031
7,233.0,-3.0242795944213867,-0.8722912669181824,-3.2513813972473145,-1.5233790874481201,-3.256828,-1.3278416
8,267.0,-3.0242795944213867,-0.8722912669181824,-3.1289618015289307,-1.4008612632751465,-3.2513814,-1.4008613
9,300.0,-3.0242795944213867,-0.8722912669181824,-3.1507086753845215,-1.5654306411743164,-3.2513814,-1.4008613
10,333.0,-3.0242795944213867,-0.8722912669181824,-3.20607852935791,-1.3775169849395752,-3.2060785,-1.4008613
11,367.0,-3.0242795944213867,-0.8722912669181824,-3.1676905155181885,-1.4443488121032715,-3.2060785,-1.4008613
12,400.0,-3.0242795944213867,-0.8722912669181824,-3.138962507247925,-1.4175395965576172,-3.2060785,-1.4008613
13,433.0,-3.0242795944213867,-0.8722912669181824,-3.228756904602051,-1.5979188680648804,-3.2060785,-1.4175396
14,467.0,-3.0242795944213867,-0.8722912669181824,-3.302042245864868,-1.4515230655670166,-3.2060785,-1.4175396
15,500.0,-3.0242795944213867,-0.8722912669181824,-3.2415311336517334,-1.2487863302230835,-3.228757,-1.4175396
16,533.0,-3.0242795944213867,-0.8722912669181824,-3.1807808876037598,-1.5082032680511475,-3.2060785,-1.4175396
17,567.0,-3.0242795944213867,-0.8722912669181824,-3.094357490539551,-1.544600009918213,-3.2060785,-1.4175396
18,600.0,-3.0242795944213867,-0.8722912669181824,-3.2003846168518066,-1.7747777700424194,-3.2003846,-1.5082033
19,633.0,-3.0242795944213867,-0.8722912669181824,-2.47855544090271,-1.9302077293395996,-3.2003846,-1.5446
20,667.0,-3.0242795944213867,-0.8722912669181824,-1.5716075897216797,-3.218569040298462,-3.2003846,-1.7747778
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.0511221885681152,-3.444038152694702,-2.4785554,-1.9302077
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.086183786392212,-1.9380202293395996,-2.0861838,-1.9380202
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.9133400917053223,-1.6393020153045654,-2.4785554,-1.9302077
24,800.0,-3.0242795944213867,-0.8722912669181824,-3.0017120838165283,-1.7603282928466797,-2.4785554,-1.9302077
25,833.0,-3.0242795944213867,-0.8722912669181824,-3.0905027389526367,-1.5663933753967285,-2.91334,-1.7603283
26,867.0,-3.0242795944213867,-0.8722912669181824,-3.2821481227874756,-1.543808937072754,-3.001712,-1.7603283
27,900.0,-3.0242795944213867,-0.8722912669181824,-3.251906156539917,-1.408841609954834,-3.0905027,-1.5663934
28,933.0,-3.0242795944213867,-0.8722912669181824,-3.1972641944885254,-1.576680302619934,-3.1972642,-1.5766803
29,967.0,-3.0242795944213867,-0.8722912669181824,-3.225766658782959,-1.599738597869873,-3.1972642,-1.5766803
30,1000.0,-3.0242795944213867,-0.8722912669181824,-3.265775680541992,-1.3735404014587402,-3.1972642,-1.5766803
31,1033.0,-3.0242795944213867,-0.8722912669181824,-3.240312099456787,-1.4440099000930786,-3.2257667,-1.5766803
32,1067.0,-3.0242795944213867,-0.8722912669181824,-3.255983591079712,-1.5947908163070679,-3.240312,-1.5766803
33,1100.0,-3.0242795944213867,-0.8722912669181824,-3.0957775115966797,-1.4381279945373535,-3.2257667,-1.5766803
34,1133.0,-3.0242795944213867,-0.8722912669181824,-3.180960178375244,-1.4688161611557007,-3.2257667,-1.5766803
35,1167.0,-3.0242795944213867,-0.8722912669181824,-3.232272148132324,-1.6317965984344482,-3.2257667,-1.5766803
36,1200.0,-3.0242795944213867,-0.8722912669181824,-3.120637893676758,-1.5303722620010376,-3.2257667,-1.5766803
37,1233.0,-3.0242795944213867,-0.8722912669181824,-3.231250286102295,-1.4734485149383545,-3.2257667,-1.5766803
38,1267.0,-3.0242795944213867,-0.8722912669181824,-3.204160213470459,-1.4967957735061646,-3.2257667,-1.5303723
39,1300.0,-3.0242795944213867,-0.8722912669181824,-3.166778087615967,-1.5182936191558838,-3.2257667,-1.5182936
40,1333.0,-3.0242795944213867,-0.8722912669181824,-3.2181992530822754,-1.4881577491760254,-3.2181993,-1.5182936
41,1367.0,-3.0242795944213867,-0.8722912669181824,-3.244102716445923,-1.3119502067565918,-3.2257667,-1.5182936
42,1400.0,-3.0242795944213867,-0.8722912669181824,-3.282499313354492,-1.3968706130981445,-3.2257667,-1.4881577
43,1433.0,-3.0242795944213867,-0.8722912669181824,-3.169250011444092,-1.2542685270309448,-3.2257667,-1.3968706
44,1467.0,-3.0242795944213867,-0.8722912669181824,-3.2502427101135254,-1.3362911939620972,-3.2257667,-1.3968706
45,1500.0,-3.0242795944213867,-0.8722912669181824,-3.1401734352111816,-1.314349889755249,-3.2257667,-1.3362912
46,1533.0,-3.0242795944213867,-0.8722912669181824,-3.1639602184295654,-1.5889142751693726,-3.2257667,-1.3968706
47,1567.0,-3.0242795944213867,-0.8722912669181824,-3.1308348178863525,-1.3204947710037231,-3.1639602,-1.3362912
48,1600.0,-3.0242795944213867,-0.8722912669181824,-3.0880329608917236,-1.3405351638793945,-3.1639602,-1.3405352
49,1633.0,-3.0242795944213867,-0.8722912669181824,-3.192864418029785,-1.3280386924743652,-3.1639602,-1.3362912
50,1667.0,-3.0242795944213867,-0.8722912669181824,-3.1772074699401855,-1.4030656814575195,-3.1639602,-1.3405352
51,1700.0,-3.0242795944213867,-0.8722912669181824,-2.9150023460388184,-1.381782054901123,-3.1639602,-1.3405352
52,1733.0,-3.0242795944213867,-0.8722912669181824,-2.9511098861694336,-1.1693639755249023,-3.1639602,-1.3405352
53,1767.0,-3.0242795944213867,-0.8722912669181824,-2.8446271419525146,-1.1221109628677368,-2.95111,-1.3405352
54,1800.0,-3.0242795944213867,-0.8722912669181824,-3.060365676879883,-1.334848165512085,-3.0603657,-1.3348482
55,1833.0,-3.0242795944213867,-0.8722912669181824,-3.0714449882507324,-1.2132985591888428,-3.0603657,-1.3348482
56,1867.0,-3.0242795944213867,-0.8722912669181824,-3.1385176181793213,-1.2697484493255615,-3.0603657,-1.3348482
57,1900.0,-3.0242795944213867,-0.8722912669181824,-3.1308181285858154,-1.1988012790679932,-3.071445,-1.2697484
58,1933.0,-3.0242795944213867,-0.8722912669181824,-3.2706260681152344,-1.2013224363327026,-3.1308181,-1.2697484
59,1967.0,-3.0242795944213867,-0.8722912669181824,-3.130826950073242,-1.2996907234191895,-3.1308181,-1.2697484
60,2000.0,-3.0242795944213867,-0.8722912669181824,-3.1057326793670654,-1.2341711521148682,-3.1308181,-1.2697484
61,2033.0,-3.0242795944213867,-0.8722912669181824,-3.123462677001953,-1.1870341300964355,-3.1308181,-1.2697484
62,2067.0,-3.0242795944213867,-0.8722912669181824,-3.1080286502838135,-1.1307686567306519,-3.1234627,-1.2341712
63,2100.0,-3.0242795944213867,-0.8722912669181824,-3.1383190155029297,-1.1457383632659912,-3.1308181,-1.1870341
64,2133.0,-3.0242795944213867,-0.8722912669181824,-2.995684862136841,-1.1072309017181396,-3.1234627,-1.1457384
65,2167.0,-3.0242795944213867,-0.8722912669181824,-3.1064300537109375,-1.0060640573501587,-3.1234627,-1.1457384
66,2200.0,-3.0242795944213867,-0.8722912669181824,-3.142179489135742,-1.8186511993408203,-3.1234627,-1.1457384
67,2233.0,-3.0242795944213867,-0.8722912669181824,-1.9252543449401855,-2.210076093673706,-3.1234627,-1.1457384
68,2267.0,-3.0242795944213867,-0.8722912669181824,-1.9908210039138794,-3.1133029460906982,-3.1234627,-1.8186512
69,2300.0,-3.0242795944213867,-0.8722912669181824,-1.4316656589508057,-2.5650947093963623,-1.990821,-2.210076
70,2333.0,-3.0242795944213867,-0.8722912669181824,-2.5558922290802,-2.373950481414795,-2.5558922,-2.3739505
71,2367.0,-3.0242795944213867,-0.8722912669181824,-2.9821434020996094,-2.3235111236572266,-2.5558922,-2.3235111
72,2400.0,-3.0242795944213867,-0.8722912669181824,-3.125432014465332,-1.7234646081924438,-2.5558922,-2.3235111
73,2433.0,-3.0242795944213867,-0.8722912669181824,-3.094099998474121,-1.410164475440979,-2.9821434,-2.3235111
74,2467.0,-3.0242795944213867,-0.8722912669181824,-3.140279769897461,-1.3374576568603516,-3.0941,-1.7234646
75,2500.0,-3.0242795944213867,-0.8722912669181824,-3.2201390266418457,-1.5194921493530273,-3.0941,-1.5194921
