,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-3.1577835083007812,-1.3293945789337158,-3.1250756,-1.2377532
1,33.0,-3.0242795944213867,-0.8722912669181824,-3.2622554302215576,-1.189106822013855,-3.139413,-1.2348759
2,67.0,-3.0242795944213867,-0.8722912669181824,-3.1575279235839844,-1.388327956199646,-3.157528,-1.2377532
3,100.0,-3.0242795944213867,-0.8722912669181824,-3.138805389404297,-1.2602990865707397,-3.139413,-1.2377532
4,133.0,-3.0242795944213867,-0.8722912669181824,-3.068263292312622,-1.1879992485046387,-3.139413,-1.2377532
5,167.0,-3.0242795944213867,-0.8722912669181824,-3.245759963989258,-1.3324345350265503,-3.139413,-1.2377532
6,200.0,-3.0242795944213867,-0.8722912669181824,-3.161360740661621,-1.4544702768325806,-3.139413,-1.2377532
7,233.0,-3.0242795944213867,-0.8722912669181824,-2.9674296379089355,-5.0090837478637695,-3.139413,-1.3324345
8,267.0,-3.0242795944213867,-0.8722912669181824,-2.3422927856445312,-6.756847381591797,-3.139413,-1.4544703
9,300.0,-3.0242795944213867,-0.8722912669181824,-2.354191780090332,-6.650485992431641,-2.9674296,-5.0090837
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.285585403442383,-6.582292556762695,-2.3541918,-6.5822926
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.2039856910705566,-6.439365386962891,-2.3541918,-6.4393654
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.593116521835327,-6.054719924926758,-2.3541918,-6.4393654
13,433.0,-3.0242795944213867,-0.8722912669181824,-3.033862352371216,-2.602782964706421,-2.3541918,-6.4393654
14,467.0,-3.0242795944213867,-0.8722912669181824,-3.0457255840301514,-1.8306915760040283,-2.5931165,-6.05472
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.959393262863159,-1.8942869901657104,-2.9593933,-2.602783
16,533.0,-3.0242795944213867,-0.8722912669181824,-3.0165903568267822,-1.5802949666976929,-2.9593933,-1.894287
17,567.0,-3.0242795944213867,-0.8722912669181824,-3.0185353755950928,-1.5395045280456543,-2.9593933,-1.894287
18,600.0,-3.0242795944213867,-0.8722912669181824,-3.1469011306762695,-1.6094709634780884,-3.0165904,-1.609471
19,633.0,-3.0242795944213867,-0.8722912669181824,-3.0751395225524902,-1.453145980834961,-3.0185354,-1.609471
20,667.0,-3.0242795944213867,-0.8722912669181824,-2.981415271759033,-1.3054273128509521,-3.0165904,-1.609471
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.9287424087524414,-1.5955899953842163,-3.0165904,-1.59559
