,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-2.184574604034424,-0.9569759368896484,-2.3382905,-1.0068474
1,33.0,-3.0242795944213867,-0.8722912669181824,-2.2961602210998535,-0.9748837947845459,-2.3134975,-0.9748838
2,67.0,-3.0242795944213867,-0.8722912669181824,-2.292137622833252,-0.9680553078651428,-2.2961602,-0.9748838
3,100.0,-3.0242795944213867,-0.8722912669181824,-2.2551019191741943,-1.0060772895812988,-2.2961602,-0.9748838
4,133.0,-3.0242795944213867,-0.8722912669181824,-2.2840044498443604,-0.9835711121559143,-2.2921376,-0.9748838
5,167.0,-3.0242795944213867,-0.8722912669181824,-2.3176374435424805,-0.9815381765365601,-2.2961602,-0.9815382
6,200.0,-3.0242795944213867,-0.8722912669181824,-2.449537754058838,-0.9667083621025085,-2.2961602,-0.9748838
7,233.0,-3.0242795944213867,-0.8722912669181824,-2.50429630279541,-0.9890151023864746,-2.3176374,-0.9815382
8,267.0,-3.0242795944213867,-0.8722912669181824,-2.591789484024048,-1.0027716159820557,-2.4495378,-0.9815382
9,300.0,-3.0242795944213867,-0.8722912669181824,-2.7577781677246094,-1.0521234273910522,-2.5042963,-0.9890151
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.8762147426605225,-1.1736186742782593,-2.5917895,-1.0027716
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.8737850189208984,-1.1367871761322021,-2.7577782,-1.0521234
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.64908504486084,-1.1167781352996826,-2.649085,-1.1167781
13,433.0,-3.0242795944213867,-0.8722912669181824,-2.8099632263183594,-1.0623804330825806,-2.7577782,-1.0623804
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.8399109840393066,-0.987743079662323,-2.7577782,-1.0623804
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.8494036197662354,-1.0939040184020996,-2.8099632,-1.0623804
16,533.0,-3.0242795944213867,-0.8722912669181824,-2.853696346282959,-1.0723843574523926,-2.839911,-1.0623804
17,567.0,-3.0242795944213867,-0.8722912669181824,-2.848510980606079,-1.0402778387069702,-2.848511,-1.0623804
18,600.0,-3.0242795944213867,-0.8722912669181824,-2.9582529067993164,-1.0727839469909668,-2.848511,-1.0623804
19,633.0,-3.0242795944213867,-0.8722912669181824,-2.4892220497131348,-1.1577328443527222,-2.848511,-1.0623804
20,667.0,-3.0242795944213867,-0.8722912669181824,-2.221827507019043,-2.2661285400390625,-2.848511,-1.072784
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.373363971710205,-1.7491658926010132,-2.489222,-1.1577328
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.4578475952148438,-1.2059030532836914,-2.4578476,-1.205903
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.824843168258667,-1.4275487661361694,-2.489222,-1.205903
24,800.0,-3.0242795944213867,-0.8722912669181824,-2.8108296394348145,-1.3635774850845337,-2.489222,-1.205903
25,833.0,-3.0242795944213867,-0.8722912669181824,-2.919701099395752,-1.3831332921981812,-2.8108296,-1.3635775
26,867.0,-3.0242795944213867,-0.8722912669181824,-2.9288129806518555,-1.1543097496032715,-2.8108296,-1.205903
27,900.0,-3.0242795944213867,-0.8722912669181824,-3.013007879257202,-1.034600019454956,-2.919701,-1.205903
28,933.0,-3.0242795944213867,-0.8722912669181824,-2.935788631439209,-1.0678256750106812,-2.928813,-1.1543097
29,967.0,-3.0242795944213867,-0.8722912669181824,-2.928220748901367,-0.9666413068771362,-2.9282207,-1.0678257
30,1000.0,-3.0242795944213867,-0.8722912669181824,-2.7149500846862793,-1.0266777276992798,-2.9282207,-1.0678257
31,1033.0,-3.0242795944213867,-0.8722912669181824,-2.7702720165252686,-0.9711424112319946,-2.9282207,-1.0266777
32,1067.0,-3.0242795944213867,-0.8722912669181824,-2.783748149871826,-1.071313500404358,-2.7837481,-1.0678257
33,1100.0,-3.0242795944213867,-0.8722912669181824,-2.705324649810791,-1.003652572631836,-2.7837481,-1.0266777
34,1133.0,-3.0242795944213867,-0.8722912669181824,-2.4991164207458496,-1.0128253698349,-2.7837481,-1.0266777
35,1167.0,-3.0242795944213867,-0.8722912669181824,-2.3988184928894043,-1.0294145345687866,-2.7053246,-1.0266777
36,1200.0,-3.0242795944213867,-0.8722912669181824,-2.425994873046875,-1.0267903804779053,-2.4991164,-1.0266777
37,1233.0,-3.0242795944213867,-0.8722912669181824,-2.429826021194458,-1.0570926666259766,-2.429826,-1.0267904
38,1267.0,-3.0242795944213867,-0.8722912669181824,-2.4712300300598145,-1.080873727798462,-2.47123,-1.0267904
39,1300.0,-3.0242795944213867,-0.8722912669181824,-2.3828816413879395,-1.09734046459198,-2.429826,-1.0570927
40,1333.0,-3.0242795944213867,-0.8722912669181824,-2.3668875694274902,-1.0923585891723633,-2.429826,-1.0808737
41,1367.0,-3.0242795944213867,-0.8722912669181824,-2.452195167541504,-1.0939569473266602,-2.429826,-1.0923586
42,1400.0,-3.0242795944213867,-0.8722912669181824,-2.3263187408447266,-1.0210241079330444,-2.429826,-1.0808737
43,1433.0,-3.0242795944213867,-0.8722912669181824,-2.247276782989502,-1.0433562994003296,-2.429826,-1.0808737
44,1467.0,-3.0242795944213867,-0.8722912669181824,-2.3391480445861816,-1.073697805404663,-2.339148,-1.0736978
45,1500.0,-3.0242795944213867,-0.8722912669181824,-2.3562543392181396,-1.0643075704574585,-2.3562543,-1.0736978
46,1533.0,-3.0242795944213867,-0.8722912669181824,-2.3889718055725098,-1.074874997138977,-2.3562543,-1.0736978
47,1567.0,-3.0242795944213867,-0.8722912669181824,-2.253704786300659,-1.0590219497680664,-2.3562543,-1.0736978
48,1600.0,-3.0242795944213867,-0.8722912669181824,-2.4240732192993164,-1.0311487913131714,-2.3562543,-1.0736978
49,1633.0,-3.0242795944213867,-0.8722912669181824,-2.3476998805999756,-1.0684707164764404,-2.3562543,-1.0684707
50,1667.0,-3.0242795944213867,-0.8722912669181824,-2.373833417892456,-1.1152048110961914,-2.3562543,-1.0736978
51,1700.0,-3.0242795944213867,-0.8722912669181824,-2.389753580093384,-1.032052993774414,-2.3562543,-1.0684707
52,1733.0,-3.0242795944213867,-0.8722912669181824,-2.4673359394073486,-1.038089394569397,-2.3738334,-1.0684707
53,1767.0,-3.0242795944213867,-0.8722912669181824,-2.5781078338623047,-1.022191047668457,-2.3897536,-1.0380894
54,1800.0,-3.0242795944213867,-0.8722912669181824,-2.5635180473327637,-1.0486443042755127,-2.467336,-1.0486443
55,1833.0,-3.0242795944213867,-0.8722912669181824,-2.874016761779785,-0.9924185276031494,-2.563518,-1.0380894
56,1867.0,-3.0242795944213867,-0.8722912669181824,-2.813389778137207,-1.032950520515442,-2.563518,-1.0380894
57,1900.0,-3.0242795944213867,-0.8722912669181824,-2.7404696941375732,-1.0254085063934326,-2.7404697,-1.0329505
58,1933.0,-3.0242795944213867,-0.8722912669181824,-2.8908796310424805,-1.0130951404571533,-2.7404697,-1.0329505
59,1967.0,-3.0242795944213867,-0.8722912669181824,-2.9797298908233643,-0.997234582901001,-2.7404697,-1.0254085
60,2000.0,-3.0242795944213867,-0.8722912669181824,-2.9489760398864746,-1.1837756633758545,-2.8908796,-1.0329505
61,2033.0,-3.0242795944213867,-0.8722912669181824,-2.959141731262207,-1.0320981740951538,-2.948976,-1.0320982
62,2067.0,-3.0242795944213867,-0.8722912669181824,-2.905813455581665,-1.0389411449432373,-2.9058135,-1.0329505
63,2100.0,-3.0242795944213867,-0.8722912669181824,-2.934873580932617,-1.0622450113296509,-2.9348736,-1.0329505
64,2133.0,-3.0242795944213867,-0.8722912669181824,-2.956268310546875,-1.1163513660430908,-2.9348736,-1.0389411
