,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0310399532318115,-0.6694319248199463,-2.909750461578369,-1.6420730352401733,-3.0438802,-1.455146
1,33.0,-3.0310399532318115,-0.6694319248199463,-3.0861401557922363,-1.2810561656951904,-3.0438802,-1.3385538
2,67.0,-3.0310399532318115,-0.6694319248199463,-3.1135590076446533,-1.65896737575531,-3.0438802,-1.455146
3,100.0,-3.0310399532318115,-0.6694319248199463,-3.018256902694702,-1.6898143291473389,-3.0438802,-1.455146
4,133.0,-3.0310399532318115,-0.6694319248199463,-3.021949529647827,-1.4617259502410889,-3.0438802,-1.461726
5,167.0,-3.0310399532318115,-0.6694319248199463,-3.0490314960479736,-1.6811224222183228,-3.0438802,-1.461726
6,200.0,-3.0310399532318115,-0.6694319248199463,-2.929124593734741,-1.6207109689712524,-3.0438802,-1.461726
7,233.0,-3.0310399532318115,-0.6694319248199463,-3.041912078857422,-1.599088430404663,-3.0438802,-1.5990884
8,267.0,-3.0310399532318115,-0.6694319248199463,-2.9587624073028564,-1.5587091445922852,-3.041912,-1.5587091
9,300.0,-3.0310399532318115,-0.6694319248199463,-2.96435284614563,-1.5785552263259888,-3.041912,-1.5785552
10,333.0,-3.0310399532318115,-0.6694319248199463,-2.8496062755584717,-1.283077359199524,-2.9643528,-1.5587091
11,367.0,-3.0310399532318115,-0.6694319248199463,-2.8683202266693115,-1.6866410970687866,-2.9643528,-1.5785552
12,400.0,-3.0310399532318115,-0.6694319248199463,-2.8257219791412354,-2.0268659591674805,-2.8683202,-1.5785552
13,433.0,-3.0310399532318115,-0.6694319248199463,-2.8807547092437744,-1.7578579187393188,-2.8807547,-1.6866411
14,467.0,-3.0310399532318115,-0.6694319248199463,-3.003068685531616,-1.6792562007904053,-2.8807547,-1.6792562
15,500.0,-3.0310399532318115,-0.6694319248199463,-3.0252268314361572,-1.498322606086731,-2.8807547,-1.6792562
16,533.0,-3.0310399532318115,-0.6694319248199463,-2.93927264213562,-1.2627469301223755,-2.9392726,-1.6792562
17,567.0,-3.0310399532318115,-0.6694319248199463,-2.9554007053375244,-1.2410578727722168,-2.9392726,-1.4983226
18,600.0,-3.0310399532318115,-0.6694319248199463,-3.1950466632843018,-1.9733234643936157,-2.9392726,-1.6792562
19,633.0,-3.0310399532318115,-0.6694319248199463,-3.0457940101623535,-1.6704003810882568,-2.9554007,-1.6704004
20,667.0,-3.0310399532318115,-0.6694319248199463,-2.9209823608398438,-1.4314165115356445,-2.9392726,-1.6704004
21,700.0,-3.0310399532318115,-0.6694319248199463,-3.072129487991333,-1.6797822713851929,-2.9554007,-1.6704004
22,733.0,-3.0310399532318115,-0.6694319248199463,-2.9079501628875732,-1.494258999824524,-2.9392726,-1.6704004
23,767.0,-3.0310399532318115,-0.6694319248199463,-3.1260499954223633,-1.3882777690887451,-2.9554007,-1.6704004
24,800.0,-3.0310399532318115,-0.6694319248199463,-3.043978691101074,-1.5887473821640015,-2.9554007,-1.5887474
25,833.0,-3.0310399532318115,-0.6694319248199463,-3.0089216232299805,-1.6671756505966187,-3.0089216,-1.6671757
26,867.0,-3.0310399532318115,-0.6694319248199463,-3.0069305896759033,-1.8521305322647095,-3.0069306,-1.6671757
27,900.0,-3.0310399532318115,-0.6694319248199463,-3.0580503940582275,-1.5739754438400269,-3.0089216,-1.6671757
28,933.0,-3.0310399532318115,-0.6694319248199463,-2.886159896850586,-1.7129231691360474,-3.0069306,-1.6671757
29,967.0,-3.0310399532318115,-0.6694319248199463,-3.0193376541137695,-2.0239288806915283,-3.0089216,-1.6671757
30,1000.0,-3.0310399532318115,-0.6694319248199463,-2.9011151790618896,-1.4826022386550903,-3.0069306,-1.6671757
31,1033.0,-3.0310399532318115,-0.6694319248199463,-3.0504424571990967,-2.126648426055908,-3.0089216,-1.6671757
32,1067.0,-3.0310399532318115,-0.6694319248199463,-2.953216314315796,-1.6518584489822388,-3.0069306,-1.6671757
33,1100.0,-3.0310399532318115,-0.6694319248199463,-3.0278093814849854,-1.7726866006851196,-3.0089216,-1.6671757
34,1133.0,-3.0310399532318115,-0.6694319248199463,-3.0589959621429443,-1.7091072797775269,-3.0089216,-1.6671757
35,1167.0,-3.0310399532318115,-0.6694319248199463,-2.989520311355591,-1.5120606422424316,-3.0089216,-1.6671757
36,1200.0,-3.0310399532318115,-0.6694319248199463,-2.9842164516448975,-1.1650900840759277,-3.0089216,-1.6671757
37,1233.0,-3.0310399532318115,-0.6694319248199463,-3.0200462341308594,-1.6290709972381592,-3.0089216,-1.629071
38,1267.0,-3.0310399532318115,-0.6694319248199463,-2.914811372756958,-1.680780291557312,-3.0089216,-1.6671757
39,1300.0,-3.0310399532318115,-0.6694319248199463,-2.8118438720703125,-1.9390431642532349,-3.0089216,-1.6671757
40,1333.0,-3.0310399532318115,-0.6694319248199463,-2.9586639404296875,-1.24205482006073,-2.958664,-1.6671757
41,1367.0,-3.0310399532318115,-0.6694319248199463,-3.0714855194091797,-2.211982250213623,-3.0089216,-1.6671757
42,1400.0,-3.0310399532318115,-0.6694319248199463,-3.0696756839752197,-2.3557629585266113,-3.0089216,-1.6671757
43,1433.0,-3.0310399532318115,-0.6694319248199463,-2.981611967086792,-2.0832653045654297,-3.0089216,-2.0832653
44,1467.0,-3.0310399532318115,-0.6694319248199463,-2.936011552810669,-1.8655565977096558,-3.0089216,-1.8655566
45,1500.0,-3.0310399532318115,-0.6694319248199463,-2.8599610328674316,-1.644638180732727,-2.981612,-1.8655566
46,1533.0,-3.0310399532318115,-0.6694319248199463,-2.8686020374298096,-1.3594859838485718,-2.9360116,-1.8655566
47,1567.0,-3.0310399532318115,-0.6694319248199463,-2.9875261783599854,-1.6665815114974976,-2.981612,-1.6665815
48,1600.0,-3.0310399532318115,-0.6694319248199463,-2.985912799835205,-1.757367730140686,-2.981612,-1.7573677
49,1633.0,-3.0310399532318115,-0.6694319248199463,-3.159579277038574,-1.441353678703308,-2.9859128,-1.6665815
50,1667.0,-3.0310399532318115,-0.6694319248199463,-2.9659812450408936,-1.5102695226669312,-2.981612,-1.6665815
51,1700.0,-3.0310399532318115,-0.6694319248199463,-3.060333490371704,-1.880961298942566,-2.9859128,-1.6665815
52,1733.0,-3.0310399532318115,-0.6694319248199463,-2.909583806991577,-1.245124340057373,-2.981612,-1.6665815
53,1767.0,-3.0310399532318115,-0.6694319248199463,-2.842860460281372,-1.3988051414489746,-2.981612,-1.6665815
54,1800.0,-3.0310399532318115,-0.6694319248199463,-2.9031107425689697,-1.8881186246871948,-2.9095838,-1.6665815
55,1833.0,-3.0310399532318115,-0.6694319248199463,-3.0646812915802,-2.3606481552124023,-2.981612,-1.6665815
56,1867.0,-3.0310399532318115,-0.6694319248199463,-2.962052583694458,-1.7875207662582397,-2.9620526,-1.7875208
57,1900.0,-3.0310399532318115,-0.6694319248199463,-2.886362314224243,-1.9130544662475586,-2.9620526,-1.7875208
58,1933.0,-3.0310399532318115,-0.6694319248199463,-2.7985308170318604,-1.6132954359054565,-2.9620526,-1.7875208
59,1967.0,-3.0310399532318115,-0.6694319248199463,-2.906404972076416,-1.3106876611709595,-2.906405,-1.7875208
60,2000.0,-3.0310399532318115,-0.6694319248199463,-2.961939573287964,-1.7163946628570557,-2.9619396,-1.7163947
61,2033.0,-3.0310399532318115,-0.6694319248199463,-2.9085071086883545,-1.4782277345657349,-2.908507,-1.7163947
62,2067.0,-3.0310399532318115,-0.6694319248199463,-3.054597854614258,-1.8785102367401123,-2.9619396,-1.7163947
63,2100.0,-3.0310399532318115,-0.6694319248199463,-2.935605049133301,-1.2245548963546753,-2.935605,-1.7163947
64,2133.0,-3.0310399532318115,-0.6694319248199463,-3.0555098056793213,-2.0531463623046875,-2.9619396,-1.7163947
65,2167.0,-3.0310399532318115,-0.6694319248199463,-2.954580307006836,-1.4751678705215454,-2.9545803,-1.7163947
66,2200.0,-3.0310399532318115,-0.6694319248199463,-2.991840124130249,-1.2913851737976074,-2.9619396,-1.7163947
67,2233.0,-3.0310399532318115,-0.6694319248199463,-2.9348299503326416,-1.6999493837356567,-2.9545803,-1.6999494
68,2267.0,-3.0310399532318115,-0.6694319248199463,-3.042698383331299,-1.6498788595199585,-2.9619396,-1.6999494
69,2300.0,-3.0310399532318115,-0.6694319248199463,-3.0412840843200684,-1.6391521692276,-2.9619396,-1.6999494
70,2333.0,-3.0310399532318115,-0.6694319248199463,-2.973280191421509,-1.7274426221847534,-2.9732802,-1.6999494
71,2367.0,-3.0310399532318115,-0.6694319248199463,-3.0508387088775635,-1.7541155815124512,-2.9732802,-1.6999494
72,2400.0,-3.0310399532318115,-0.6694319248199463,-3.03153395652771,-1.58015775680542,-2.9732802,-1.6999494
73,2433.0,-3.0310399532318115,-0.6694319248199463,-2.987830638885498,-1.480105996131897,-2.9878306,-1.6999494
74,2467.0,-3.0310399532318115,-0.6694319248199463,-3.0153470039367676,-1.8058403730392456,-2.9878306,-1.6999494
75,2500.0,-3.0310399532318115,-0.6694319248199463,-2.9716484546661377,-1.4639469385147095,-2.9878306,-1.6999494
76,2533.0,-3.0310399532318115,-0.6694319248199463,-3.123887300491333,-1.8170835971832275,-2.9878306,-1.6999494
77,2567.0,-3.0310399532318115,-0.6694319248199463,-3.0615336894989014,-1.593024492263794,-2.9878306,-1.6999494
78,2600.0,-3.0310399532318115,-0.6694319248199463,-2.8874261379241943,-1.764056921005249,-2.9878306,-1.6999494
79,2633.0,-3.0310399532318115,-0.6694319248199463,-2.8236067295074463,-1.7877558469772339,-2.9878306,-1.6999494
80,2667.0,-3.0310399532318115,-0.6694319248199463,-2.9510180950164795,-1.4968830347061157,-2.951018,-1.6999494
81,2700.0,-3.0310399532318115,-0.6694319248199463,-2.9665915966033936,-1.695839285850525,-2.9665916,-1.6999494
82,2733.0,-3.0310399532318115,-0.6694319248199463,-3.021174669265747,-2.1034717559814453,-2.9665916,-1.6999494
83,2767.0,-3.0310399532318115,-0.6694319248199463,-3.0093281269073486,-1.6829160451889038,-2.9665916,-1.6999494
84,2800.0,-3.0310399532318115,-0.6694319248199463,-2.988630533218384,-1.742989182472229,-2.9886305,-1.6999494
85,2833.0,-0.4000000059604645,-0.6694319248199463,-0.6391061544418335,-1.8422349691390991,-2.9665916,-1.6999494
86,2867.0,-0.4000000059604645,-0.6694319248199463,-0.45074763894081116,-1.6088447570800781,-2.9665916,-1.6999494
87,2900.0,-0.4000000059604645,-0.6694319248199463,-0.23700664937496185,-1.8507275581359863,-0.63910615,-1.6999494
88,2933.0,-0.4000000059604645,-0.6694319248199463,-0.260638564825058,-1.8705737590789795,-0.45074764,-1.6999494
89,2967.0,-0.4000000059604645,-0.6694319248199463,-0.4699625074863434,-1.8963351249694824,-0.4699625,-1.8507276
90,3000.0,-0.4000000059604645,-0.6694319248199463,-0.3487647771835327,-1.9320108890533447,-0.45074764,-1.8705738
91,3033.0,-0.4000000059604645,-0.6694319248199463,-0.7512427568435669,-1.5975351333618164,-0.4699625,-1.8507276
92,3067.0,-0.4000000059604645,-0.6694319248199463,-0.5405941009521484,-1.75592041015625,-0.4699625,-1.8507276
93,3100.0,-0.4000000059604645,-0.6694319248199463,-0.6262999773025513,-1.9146078824996948,-0.5405941,-1.8507276
94,3133.0,-0.4000000059604645,-0.6694319248199463,-0.9342106580734253,-1.6476271152496338,-0.5405941,-1.8507276
95,3167.0,-0.4000000059604645,-0.6694319248199463,-0.9461808204650879,-1.6416988372802734,-0.6263,-1.8507276
96,3200.0,-0.4000000059604645,-0.6694319248199463,-0.8417565822601318,-1.7325917482376099,-0.8417566,-1.7325917
97,3233.0,-0.4000000059604645,-0.6694319248199463,-0.4087824523448944,-1.586933970451355,-0.6263,-1.7325917
98,3267.0,-0.4000000059604645,-0.6694319248199463,-0.6740744113922119,-1.737921953201294,-0.6740744,-1.7325917
99,3300.0,-0.4000000059604645,-0.6694319248199463,-0.2593505084514618,-1.8971282243728638,-0.6263,-1.7325917
100,3333.0,-0.4000000059604645,-0.6694319248199463,-0.6665563583374023,-1.8967489004135132,-0.66655636,-1.737922
