,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-3.180325746536255,-1.3954081535339355,-3.0356567,-1.7852035
1,33.0,-3.0242795944213867,-0.8722912669181824,-3.11879301071167,-1.7566964626312256,-3.0356567,-1.7852035
2,67.0,-3.0242795944213867,-0.8722912669181824,-3.2175660133361816,-1.6681734323501587,-3.118793,-1.7566965
3,100.0,-3.0242795944213867,-0.8722912669181824,-3.2691707611083984,-1.2182633876800537,-3.118793,-1.7566965
4,133.0,-3.0242795944213867,-0.8722912669181824,-3.205942392349243,-1.4740066528320312,-3.2059424,-1.6681734
5,167.0,-3.0242795944213867,-0.8722912669181824,-3.1456730365753174,-1.3539268970489502,-3.145673,-1.4740067
6,200.0,-3.0242795944213867,-0.8722912669181824,-3.1668388843536377,-1.4839590787887573,-3.166839,-1.4839591
7,233.0,-3.0242795944213867,-0.8722912669181824,-3.1162078380584717,-1.3563097715377808,-3.145673,-1.4740067
8,267.0,-3.0242795944213867,-0.8722912669181824,-3.0509982109069824,-1.6165516376495361,-3.145673,-1.4839591
9,300.0,-3.0242795944213867,-0.8722912669181824,-3.1240274906158447,-1.6176928281784058,-3.1240275,-1.4839591
10,333.0,-3.0242795944213867,-0.8722912669181824,-3.1066091060638428,-1.8031538724899292,-3.1240275,-1.6165516
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.8519575595855713,-1.9892125129699707,-3.1240275,-1.6176928
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.8588383197784424,-2.1368656158447266,-3.106609,-1.8031539
13,433.0,-3.0242795944213867,-0.8722912669181824,-3.1118595600128174,-1.911409616470337,-3.1118596,-1.9114096
14,467.0,-3.0242795944213867,-0.8722912669181824,-3.118586540222168,-1.8099219799041748,-3.1118596,-1.809922
15,500.0,-3.0242795944213867,-0.8722912669181824,-3.2127950191497803,-1.99656343460083,-3.1118596,-1.9114096
16,533.0,-3.0242795944213867,-0.8722912669181824,-2.7241718769073486,-1.8877315521240234,-3.1118596,-1.8877316
