,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0310399532318115,-0.6694319248199463,-3.117462635040283,-1.0095574855804443,-3.1566687,-0.845716
1,33.0,-3.0310399532318115,-0.6694319248199463,-3.057837724685669,-0.9919672012329102,-3.1471224,-0.85984755
2,67.0,-3.0310399532318115,-0.6694319248199463,-2.919304847717285,-0.9660525321960449,-3.1256788,-0.8698316
3,100.0,-3.0310399532318115,-0.6694319248199463,-2.9751391410827637,-1.0063835382461548,-3.1115215,-0.8826717
4,133.0,-3.0310399532318115,-0.6694319248199463,-2.8540918827056885,-0.9059622287750244,-3.086626,-0.8849196
5,167.0,-3.0310399532318115,-0.6694319248199463,-2.9262542724609375,-0.9298379421234131,-3.0715458,-0.88913953
6,200.0,-3.0310399532318115,-0.6694319248199463,-2.9175503253936768,-0.9910638332366943,-3.0570667,-0.8987204
7,233.0,-3.0310399532318115,-0.6694319248199463,-2.8874387741088867,-0.8188506364822388,-3.040679,-0.89100444
8,267.0,-3.0310399532318115,-0.6694319248199463,-3.1366004943847656,-0.7156804800033569,-3.0497026,-0.87450534
9,300.0,-3.0310399532318115,-0.6694319248199463,-3.152670383453369,-0.6943084001541138,-3.059388,-0.85754955
10,333.0,-3.0310399532318115,-0.6694319248199463,-2.8916311264038086,-0.878521203994751,-3.043177,-0.8595741
11,367.0,-3.0310399532318115,-0.6694319248199463,-3.060811758041382,-0.8446611166000366,-3.0448341,-0.85817313
12,400.0,-3.0310399532318115,-0.6694319248199463,-2.883392333984375,-1.0330342054367065,-3.0296502,-0.8746269
13,433.0,-3.0310399532318115,-0.6694319248199463,-2.9709010124206543,-0.8366575241088867,-3.0239794,-0.87096107
14,467.0,-3.0310399532318115,-0.6694319248199463,-3.2458252906799316,-0.6853272318840027,-3.0448687,-0.85349274
15,500.0,-3.0310399532318115,-0.6694319248199463,-3.1964077949523926,-0.7291344404220581,-3.0591254,-0.8417989
16,533.0,-3.0310399532318115,-0.6694319248199463,-3.173579216003418,-0.7582494020462036,-3.0701823,-0.83373106
17,567.0,-3.0310399532318115,-0.6694319248199463,-3.104424476623535,-0.8464113473892212,-3.0733995,-0.83492255
18,600.0,-3.0310399532318115,-0.6694319248199463,-2.980714797973633,-0.9014750719070435,-3.0646849,-0.84117913
