,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0310399532318115,-0.6694319248199463,-3.2694649696350098,-1.4648239612579346,-2.656771,-0.98037666
1,33.0,-3.0310399532318115,-0.6694319248199463,-3.417271137237549,-1.4279918670654297,-2.7306497,-1.0237383
2,67.0,-3.0310399532318115,-0.6694319248199463,-2.656554698944092,-0.9179748296737671,-2.723678,-1.013787
3,100.0,-3.0310399532318115,-0.6694319248199463,-2.66801381111145,-0.8926185369491577,-2.7184424,-1.0023868
4,133.0,-3.0310399532318115,-0.6694319248199463,-3.186450481414795,-1.1492788791656494,-2.7637796,-1.0165781
5,167.0,-3.0310399532318115,-0.6694319248199463,-3.1844754219055176,-1.1249274015426636,-2.8034213,-1.0267626
6,200.0,-3.0310399532318115,-0.6694319248199463,-2.6067092418670654,-0.938092827796936,-2.784891,-1.0184233
7,233.0,-3.0310399532318115,-0.6694319248199463,-3.1344165802001953,-1.0206001996994019,-2.8187099,-1.0186335
8,267.0,-3.0310399532318115,-0.6694319248199463,-2.6463232040405273,-0.9507267475128174,-2.8024774,-1.0122494
9,300.0,-3.0310399532318115,-0.6694319248199463,-2.5425570011138916,-0.9422115087509155,-2.7779884,-1.0056653
10,333.0,-3.0310399532318115,-0.6694319248199463,-3.195218086242676,-1.0593987703323364,-2.8184,-1.0108533
11,367.0,-3.0310399532318115,-0.6694319248199463,-2.5540671348571777,-1.004464864730835,-2.7934952,-1.0102531
12,400.0,-3.0310399532318115,-0.6694319248199463,-3.2378625869750977,-0.9965815544128418,-2.8354008,-1.0089686
13,433.0,-3.0310399532318115,-0.6694319248199463,-2.6265618801116943,-0.9679542779922485,-2.8151968,-1.0050088
14,467.0,-3.0310399532318115,-0.6694319248199463,-3.1133265495300293,-0.8545782566070557,-2.8432722,-0.99085814
15,500.0,-3.0310399532318115,-0.6694319248199463,-2.5734901428222656,-0.9990018606185913,-2.8178546,-0.9916233
16,533.0,-3.0310399532318115,-0.6694319248199463,-3.289874315261841,-0.9202384948730469,-2.8636003,-0.98473024
17,567.0,-3.0310399532318115,-0.6694319248199463,-2.7691168785095215,-1.002002239227295,-2.8547127,-0.9863531
18,600.0,-3.0310399532318115,-0.6694319248199463,-3.142796277999878,-0.9360469579696655,-2.8818378,-0.9816258
19,633.0,-3.0310399532318115,-0.6694319248199463,-2.5977981090545654,-0.9577620029449463,-2.85434,-0.9793225
20,667.0,-3.0310399532318115,-0.6694319248199463,-3.1242470741271973,-0.9477555751800537,-2.879753,-0.97635674
21,700.0,-3.0310399532318115,-0.6694319248199463,-3.7387425899505615,-3.1932597160339355,-2.9610658,-1.1889675
22,733.0,-3.0310399532318115,-0.6694319248199463,-2.7131292819976807,-0.8870455026626587,-2.937061,-1.1597049
23,767.0,-3.0310399532318115,-0.6694319248199463,-3.2664098739624023,-5.520763397216797,-2.9680765,-1.5857259
24,800.0,-3.0310399532318115,-0.6694319248199463,-2.5849509239196777,-0.9529099464416504,-2.931932,-1.5256982
25,833.0,-3.0310399532318115,-0.6694319248199463,-3.2422971725463867,-5.528977870941162,-2.9619617,-1.9254031
26,867.0,-3.0310399532318115,-0.6694319248199463,-2.7892205715179443,-0.7881544828414917,-2.9457011,-1.8168843
27,900.0,-3.0310399532318115,-0.6694319248199463,-3.046860694885254,-5.978672504425049,-2.95521,-2.2217646
28,933.0,-3.0310399532318115,-0.6694319248199463,-1.4168543815612793,-2.487558126449585,-2.8045712,-2.2474983
29,967.0,-3.0310399532318115,-0.6694319248199463,-0.0399789921939373,-6.841269493103027,-2.5383568,-2.6955004
30,1000.0,-3.0310399532318115,-0.6694319248199463,0.5432581305503845,-5.1559600830078125,-2.241277,-2.9302866
31,1033.0,-3.0310399532318115,-0.6694319248199463,0.6135227680206299,-5.147604942321777,-1.9596373,-3.1470432
32,1067.0,-3.0310399532318115,-0.6694319248199463,1.4823615550994873,-6.997636318206787,-1.6276966,-3.518924
33,1100.0,-3.0310399532318115,-0.6694319248199463,1.4234404563903809,-7.173938751220703,-1.3349177,-3.8708289
34,1133.0,-3.0310399532318115,-0.6694319248199463,-0.47169822454452515,-4.179481506347656,-1.2516112,-3.900837
35,1167.0,-3.0310399532318115,-0.6694319248199463,-2.5592989921569824,-0.9316840171813965,-1.3768605,-3.6117048
36,1200.0,-3.0310399532318115,-0.6694319248199463,1.3682796955108643,-6.967678070068359,-1.113662,-3.935256
37,1233.0,-3.0310399532318115,-0.6694319248199463,-2.5276618003845215,-0.980642557144165,-1.2527643,-3.6403766
38,1267.0,-3.0310399532318115,-0.6694319248199463,1.0976413488388062,-7.10623836517334,-1.0279993,-3.975445
39,1300.0,-3.0310399532318115,-0.6694319248199463,1.6191331148147583,-6.901480674743652,-0.7744093,-4.256422
40,1333.0,-3.0310399532318115,-0.6694319248199463,-2.4947214126586914,-0.9863681793212891,-0.9440982,-3.929214
41,1367.0,-3.0310399532318115,-0.6694319248199463,1.336838960647583,-7.0457234382629395,-0.72604704,-4.229673
42,1400.0,-3.0310399532318115,-0.6694319248199463,-2.5712413787841797,-0.9235055446624756,-0.9032068,-3.9080164
43,1433.0,-3.0310399532318115,-0.6694319248199463,-2.630422353744507,-0.8997424840927124,-1.0730151,-3.6091096
44,1467.0,-3.0310399532318115,-0.6694319248199463,1.5615100860595703,-6.783094882965088,-0.81963205,-3.9164171
45,1500.0,-3.0310399532318115,-0.6694319248199463,-2.375953197479248,-1.089670181274414,-0.96834826,-3.6434338
46,1533.0,-3.0310399532318115,-0.6694319248199463,1.3582043647766113,-7.000263214111328,-0.73918027,-3.97777
47,1567.0,-3.0310399532318115,-0.6694319248199463,-2.7378149032592773,-0.8436763286590576,-0.9309324,-3.6741724
48,1600.0,-3.0310399532318115,-0.6694319248199463,1.461476445198059,-7.08829402923584,-0.7013015,-4.0053983
49,1633.0,-3.0310399532318115,-0.6694319248199463,1.348982334136963,-7.108484268188477,-0.500097,-4.312999
50,1667.0,-3.0310399532318115,-0.6694319248199463,-2.678642749786377,-0.8768380880355835,-0.7096231,-3.9786043
51,1700.0,-3.0310399532318115,-0.6694319248199463,1.2716090679168701,-6.632359504699707,-0.52028024,-4.2339354
52,1733.0,-3.0310399532318115,-0.6694319248199463,-2.7329580783843994,-0.8386226892471313,-0.73874676,-3.8951023
53,1767.0,-3.0310399532318115,-0.6694319248199463,-2.198241710662842,-1.9846982955932617,-0.8777846,-3.7124975
54,1800.0,-3.0310399532318115,-0.6694319248199463,-2.622136116027832,-0.9520775079727173,-1.0442142,-3.4469109
55,1833.0,-3.0310399532318115,-0.6694319248199463,-2.5126888751983643,-0.9558771848678589,-1.1876167,-3.2017274
56,1867.0,-3.0310399532318115,-0.6694319248199463,-3.0353288650512695,-0.7963628768920898,-1.3637487,-2.9717064
57,1900.0,-3.0310399532318115,-0.6694319248199463,-2.8669204711914062,-0.8301637172698975,-1.5064554,-2.7676005
58,1933.0,-3.0310399532318115,-0.6694319248199463,-2.658350944519043,-0.8587440252304077,-1.6183791,-2.5812194
59,1967.0,-3.0310399532318115,-0.6694319248199463,-2.7933385372161865,-0.8933802843093872,-1.7295141,-2.4211774
60,2000.0,-3.0310399532318115,-0.6694319248199463,-2.666189193725586,-0.869483470916748,-1.8179005,-2.274248
61,2033.0,-3.0310399532318115,-0.6694319248199463,-2.9609193801879883,-0.8664114475250244,-1.928925,-2.1374812
62,2067.0,-3.0310399532318115,-0.6694319248199463,-2.619828462600708,-0.8751239776611328,-1.9939661,-2.0182586
63,2100.0,-3.0310399532318115,-0.6694319248199463,-2.7250142097473145,-0.8642182350158691,-2.0628288,-1.9093556
64,2133.0,-3.0310399532318115,-0.6694319248199463,-2.6092641353607178,-0.9079707860946655,-2.1156273,-1.8123901
65,2167.0,-3.0310399532318115,-0.6694319248199463,-2.856353282928467,-0.8746128082275391,-2.185439,-1.7240262
66,2200.0,-3.0310399532318115,-0.6694319248199463,-2.7151103019714355,-0.8516147136688232,-2.2352648,-1.6418476
67,2233.0,-3.0310399532318115,-0.6694319248199463,-2.595144510269165,-0.9423120021820068,-2.2699971,-1.5742402
68,2267.0,-3.0310399532318115,-0.6694319248199463,-2.7760891914367676,-0.9341713190078735,-2.3176198,-1.5140388
69,2300.0,-3.0310399532318115,-0.6694319248199463,-2.5211071968078613,-0.9738079309463501,-2.3367524,-1.4632578
70,2333.0,-3.0310399532318115,-0.6694319248199463,-2.9351346492767334,-0.8546024560928345,-2.3946784,-1.4044201
71,2367.0,-3.0310399532318115,-0.6694319248199463,-2.6814377307891846,-0.8857632875442505,-2.4216194,-1.3556468
72,2400.0,-3.0310399532318115,-0.6694319248199463,-2.878678321838379,-0.869003176689148,-2.4646387,-1.3098855
73,2433.0,-3.0310399532318115,-0.6694319248199463,-2.7302863597869873,-0.8587571382522583,-2.4902818,-1.2663065
74,2467.0,-3.0310399532318115,-0.6694319248199463,-2.8676443099975586,-0.9143762588500977,-2.5257826,-1.2332388
75,2500.0,-3.0310399532318115,-0.6694319248199463,-2.8693411350250244,-0.9071037769317627,-2.5580955,-1.2025943
76,2533.0,-3.0310399532318115,-0.6694319248199463,-2.589114189147949,-0.8650504350662231,-2.5610936,-1.1699982
77,2567.0,-3.0310399532318115,-0.6694319248199463,-2.6671037673950195,-0.8929589986801147,-2.5710573,-1.1439676
78,2600.0,-3.0310399532318115,-0.6694319248199463,-2.7434892654418945,-0.9460614919662476,-2.5872583,-1.1253724
79,2633.0,-3.0310399532318115,-0.6694319248199463,-2.821843147277832,-0.9134554862976074,-2.6099184,-1.1049196
80,2667.0,-3.0310399532318115,-0.6694319248199463,-2.666260004043579,-0.8726245164871216,-2.6152146,-1.0830894
81,2700.0,-3.0310399532318115,-0.6694319248199463,-2.952603816986084,-0.8430850505828857,-2.6469743,-1.0605301
82,2733.0,-3.0310399532318115,-0.6694319248199463,-2.5700669288635254,-0.9329488277435303,-2.6395388,-1.048214
83,2767.0,-3.0310399532318115,-0.6694319248199463,-3.000910758972168,-0.7402186393737793,-2.6735702,-1.0192374
84,2800.0,-3.0310399532318115,-0.6694319248199463,-2.6587560176849365,-0.8904519081115723,-2.672177,-1.0071386
85,2833.0,-3.0310399532318115,-0.6694319248199463,-2.574368953704834,-0.94417405128479,-2.6627216,-1.0010586
86,2867.0,-3.0310399532318115,-0.6694319248199463,-2.882655382156372,-0.8697891235351562,-2.6834116,-0.98872536
