,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-2.905857563018799,-1.7844051122665405,-2.7344396,-1.9193825
1,33.0,-3.0242795944213867,-0.8722912669181824,-2.5301573276519775,-1.2086964845657349,-2.714685,-1.8503488
2,67.0,-3.0242795944213867,-0.8722912669181824,-2.7262680530548096,-1.6541343927383423,-2.715773,-1.8318949
3,100.0,-3.0242795944213867,-0.8722912669181824,-2.6160502433776855,-1.3276978731155396,-2.706397,-1.7843397
4,133.0,-3.0242795944213867,-0.8722912669181824,-2.572885751724243,-1.3287955522537231,-2.6934977,-1.7402295
5,167.0,-3.0242795944213867,-0.8722912669181824,-2.586941719055176,-1.599491834640503,-2.68348,-1.7270063
6,200.0,-3.0242795944213867,-0.8722912669181824,-2.46597957611084,-1.270491123199463,-2.663012,-1.6839825
7,233.0,-3.0242795944213867,-0.8722912669181824,-2.482750415802002,-1.4586530923843384,-2.6455925,-1.6622163
8,267.0,-3.0242795944213867,-0.8722912669181824,-2.416694402694702,-1.2823944091796875,-2.6240537,-1.6264507
9,300.0,-3.0242795944213867,-0.8722912669181824,-2.5250115394592285,-1.4400752782821655,-2.6147463,-1.6089342
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.4316985607147217,-1.3191301822662354,-2.5970597,-1.5809222
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.6838178634643555,-1.3570736646652222,-2.6052203,-1.5598751
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.41780424118042,-1.2848573923110962,-2.5875912,-1.5340036
13,433.0,-3.0242795944213867,-0.8722912669181824,-2.6333670616149902,-1.279091477394104,-2.592013,-1.5093721
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.6076982021331787,-1.2880996465682983,-2.593487,-1.4885671
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.5606768131256104,-1.291163444519043,-2.5904047,-1.4700099
16,533.0,-3.0242795944213867,-0.8722912669181824,-2.658555030822754,-1.3568804264068604,-2.5969875,-1.459092
17,567.0,-3.0242795944213867,-0.8722912669181824,-2.485924482345581,-1.2272378206253052,-2.5865455,-1.4372861
18,600.0,-3.0242795944213867,-0.8722912669181824,-2.533018112182617,-1.2892370223999023,-2.5815158,-1.4233731
19,633.0,-3.0242795944213867,-0.8722912669181824,-2.4550814628601074,-1.2242136001586914,-2.5693023,-1.4041344
20,667.0,-3.0242795944213867,-0.8722912669181824,-2.5079028606414795,-1.163475513458252,-2.563533,-1.3814971
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.5595571994781494,-1.3866246938705444,-2.5631597,-1.3819792
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.6386477947235107,-1.385962724685669,-2.5704515,-1.382364
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.5863406658172607,-1.505773663520813,-2.5719445,-1.393977
24,800.0,-3.0242795944213867,-0.8722912669181824,-2.6679766178131104,-1.5505101680755615,-2.580974,-1.4087088
25,833.0,-3.0242795944213867,-0.8722912669181824,-2.6437501907348633,-1.3837288618087769,-2.5870361,-1.4062982
26,867.0,-3.0242795944213867,-0.8722912669181824,-2.614619016647339,-1.2415680885314941,-2.5896277,-1.3908036
27,900.0,-3.0242795944213867,-0.8722912669181824,-2.5621745586395264,-1.399480938911438,-2.5870483,-1.391619
28,933.0,-3.0242795944213867,-0.8722912669181824,-2.5933339595794678,-1.3222728967666626,-2.587655,-1.3849238
29,967.0,-3.0242795944213867,-0.8722912669181824,-2.655996561050415,-1.3756660223007202,-2.5940788,-1.3840541
30,1000.0,-3.0242795944213867,-0.8722912669181824,-2.5364906787872314,-1.206818699836731,-2.588666,-1.3673813
31,1033.0,-3.0242795944213867,-0.8722912669181824,-2.7724153995513916,-1.343608021736145,-2.606429,-1.3650869
32,1067.0,-3.0242795944213867,-0.8722912669181824,-2.7544562816619873,-1.3134289979934692,-2.620351,-1.3602333
33,1100.0,-3.0242795944213867,-0.8722912669181824,-2.603250026702881,-1.284789800643921,-2.618744,-1.3531433
34,1133.0,-3.0242795944213867,-0.8722912669181824,-2.7548487186431885,-1.4241594076156616,-2.6318934,-1.3600031
35,1167.0,-3.0242795944213867,-0.8722912669181824,-2.525371789932251,-1.2068244218826294,-2.6218748,-1.3455962
36,1200.0,-3.0242795944213867,-0.8722912669181824,-2.4865028858184814,-1.2478724718093872,-2.6091409,-1.3364104
37,1233.0,-3.0242795944213867,-0.8722912669181824,-2.5148813724517822,-1.244022250175476,-2.6000361,-1.3274891
38,1267.0,-3.0242795944213867,-0.8722912669181824,-2.8654348850250244,-1.3191286325454712,-2.62503,-1.3267037
39,1300.0,-3.0242795944213867,-0.8722912669181824,-2.815608024597168,-1.1232481002807617,-2.6429615,-1.3075604
40,1333.0,-3.0242795944213867,-0.8722912669181824,-2.740964651107788,-1.107116937637329,-2.6524258,-1.2881871
41,1367.0,-3.0242795944213867,-0.8722912669181824,-2.572049856185913,-1.1327533721923828,-2.644868,-1.2735716
42,1400.0,-3.0242795944213867,-0.8722912669181824,-2.738090991973877,-1.0822566747665405,-2.653631,-1.255577
43,1433.0,-3.0242795944213867,-0.8722912669181824,-2.707693338394165,-1.0335177183151245,-2.6588497,-1.2341139
