,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-3.1795589923858643,-1.5988941192626953,-3.109086,-1.6943624
1,33.0,-3.0242795944213867,-0.8722912669181824,-3.325739860534668,-1.4279706478118896,-3.1300354,-1.668592
2,67.0,-3.0242795944213867,-0.8722912669181824,-3.100511074066162,-1.404630422592163,-3.1272607,-1.6437417
3,100.0,-3.0242795944213867,-0.8722912669181824,-3.14164400100708,-1.3482446670532227,-3.1286118,-1.6159185
4,133.0,-3.0242795944213867,-0.8722912669181824,-3.1781349182128906,-1.3269031047821045,-3.1333926,-1.5879668
5,167.0,-3.0242795944213867,-0.8722912669181824,-3.2568280696868896,-1.3096954822540283,-3.1449993,-1.5617766
6,200.0,-3.0242795944213867,-0.8722912669181824,-3.2931830883026123,-1.301145076751709,-3.1589353,-1.5372529
7,233.0,-3.0242795944213867,-0.8722912669181824,-3.3677611351013184,-1.3157918453216553,-3.179122,-1.5158539
8,267.0,-3.0242795944213867,-0.8722912669181824,-3.311666250228882,-1.3278416395187378,-3.1915832,-1.4981767
9,300.0,-3.0242795944213867,-0.8722912669181824,-3.210451126098633,-1.4226759672164917,-3.193356,-1.4910836
10,333.0,-3.0242795944213867,-0.8722912669181824,-3.2513813972473145,-1.5233790874481201,-3.1989567,-1.4942036
11,367.0,-3.0242795944213867,-0.8722912669181824,-3.1289618015289307,-1.4008612632751465,-3.1923752,-1.485433
12,400.0,-3.0242795944213867,-0.8722912669181824,-3.1507086753845215,-1.5654306411743164,-3.188459,-1.4929574
13,433.0,-3.0242795944213867,-0.8722912669181824,-3.20607852935791,-1.3775169849395752,-3.1901593,-1.4818091
14,467.0,-3.0242795944213867,-0.8722912669181824,-3.1676905155181885,-1.4443488121032715,-3.188048,-1.4782901
15,500.0,-3.0242795944213867,-0.8722912669181824,-3.138962507247925,-1.4175395965576172,-3.1834342,-1.4725825
16,533.0,-3.0242795944213867,-0.8722912669181824,-3.228756904602051,-1.5979188680648804,-3.1878097,-1.4846966
17,567.0,-3.0242795944213867,-0.8722912669181824,-3.302042245864868,-1.4515230655670166,-3.1985507,-1.4815801
18,600.0,-3.0242795944213867,-0.8722912669181824,-3.2415311336517334,-1.2487863302230835,-3.202589,-1.459669
19,633.0,-3.0242795944213867,-0.8722912669181824,-3.1807808876037598,-1.5082032680511475,-3.2004838,-1.4643564
20,667.0,-3.0242795944213867,-0.8722912669181824,-3.094357490539551,-1.544600009918213,-3.1905038,-1.4719015
21,700.0,-3.0242795944213867,-0.8722912669181824,-3.2003846168518066,-1.7747777700424194,-3.191432,-1.500437
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.47855544090271,-1.9302077293395996,-3.1221752,-1.5420747
23,767.0,-3.0242795944213867,-0.8722912669181824,-1.5716075897216797,-3.218569040298462,-2.9744723,-1.7019758
24,800.0,-3.0242795944213867,-0.8722912669181824,-2.0511221885681152,-3.444038152694702,-2.8871174,-1.8680462
25,833.0,-3.0242795944213867,-0.8722912669181824,-2.086183786392212,-1.9380202293395996,-2.8093932,-1.8748116
26,867.0,-3.0242795944213867,-0.8722912669181824,-2.9133400917053223,-1.6393020153045654,-2.8191886,-1.8525928
27,900.0,-3.0242795944213867,-0.8722912669181824,-3.0017120838165283,-1.7603282928466797,-2.8363934,-1.8439046
28,933.0,-3.0242795944213867,-0.8722912669181824,-3.0905027389526367,-1.5663933753967285,-2.8610065,-1.8170202
29,967.0,-3.0242795944213867,-0.8722912669181824,-3.2821481227874756,-1.543808937072754,-2.9007585,-1.7912688
30,1000.0,-3.0242795944213867,-0.8722912669181824,-3.251906156539917,-1.408841609954834,-2.9338667,-1.7551988
31,1033.0,-3.0242795944213867,-0.8722912669181824,-3.1972641944885254,-1.576680302619934,-2.9593515,-1.7379398
32,1067.0,-3.0242795944213867,-0.8722912669181824,-3.225766658782959,-1.599738597869873,-2.984437,-1.7249415
33,1100.0,-3.0242795944213867,-0.8722912669181824,-3.265775680541992,-1.3735404014587402,-3.0109267,-1.6918277
34,1133.0,-3.0242795944213867,-0.8722912669181824,-3.240312099456787,-1.4440099000930786,-3.0331016,-1.6678649
35,1167.0,-3.0242795944213867,-0.8722912669181824,-3.255983591079712,-1.5947908163070679,-3.0540705,-1.6609994
36,1200.0,-3.0242795944213867,-0.8722912669181824,-3.0957775115966797,-1.4381279945373535,-3.0579891,-1.6400297
37,1233.0,-3.0242795944213867,-0.8722912669181824,-3.180960178375244,-1.4688161611557007,-3.069864,-1.6234889
38,1267.0,-3.0242795944213867,-0.8722912669181824,-3.232272148132324,-1.6317965984344482,-3.085135,-1.6242698
39,1300.0,-3.0242795944213867,-0.8722912669181824,-3.120637893676758,-1.5303722620010376,-3.0884705,-1.6154459
40,1333.0,-3.0242795944213867,-0.8722912669181824,-3.231250286102295,-1.4734485149383545,-3.102261,-1.6017303
41,1367.0,-3.0242795944213867,-0.8722912669181824,-3.204160213470459,-1.4967957735061646,-3.1118371,-1.5918684
42,1400.0,-3.0242795944213867,-0.8722912669181824,-3.166778087615967,-1.5182936191558838,-3.1169982,-1.5849557
43,1433.0,-3.0242795944213867,-0.8722912669181824,-3.2181992530822754,-1.4881577491760254,-3.1267695,-1.5756098
44,1467.0,-3.0242795944213867,-0.8722912669181824,-3.244102716445923,-1.3119502067565918,-3.1377985,-1.5507925
45,1500.0,-3.0242795944213867,-0.8722912669181824,-3.282499313354492,-1.3968706130981445,-3.151403,-1.536321
46,1533.0,-3.0242795944213867,-0.8722912669181824,-3.169250011444092,-1.2542685270309448,-3.1531258,-1.509045
47,1567.0,-3.0242795944213867,-0.8722912669181824,-3.2502427101135254,-1.3362911939620972,-3.162253,-1.4928021
48,1600.0,-3.0242795944213867,-0.8722912669181824,-3.1401734352111816,-1.314349889755249,-3.1601777,-1.4760228
49,1633.0,-3.0242795944213867,-0.8722912669181824,-3.1639602184295654,-1.5889142751693726,-3.1605427,-1.4869366
50,1667.0,-3.0242795944213867,-0.8722912669181824,-3.1308348178863525,-1.3204947710037231,-3.1577506,-1.4712852
51,1700.0,-3.0242795944213867,-0.8722912669181824,-3.0880329608917236,-1.3405351638793945,-3.151196,-1.4589946
52,1733.0,-3.0242795944213867,-0.8722912669181824,-3.192864418029785,-1.3280386924743652,-3.1552184,-1.4463478
53,1767.0,-3.0242795944213867,-0.8722912669181824,-3.1772074699401855,-1.4030656814575195,-3.1572843,-1.4422816
54,1800.0,-3.0242795944213867,-0.8722912669181824,-2.9150023460388184,-1.381782054901123,-3.134471,-1.4365982
55,1833.0,-3.0242795944213867,-0.8722912669181824,-2.9511098861694336,-1.1693639755249023,-3.1167464,-1.4107553
56,1867.0,-3.0242795944213867,-0.8722912669181824,-2.8446271419525146,-1.1221109628677368,-3.0911245,-1.3835832
