,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-3.125075578689575,-1.2348759174346924,-3.088506,-1.2374829
1,33.0,-3.0242795944213867,-0.8722912669181824,-3.1033995151519775,-1.1628289222717285,-3.0899436,-1.2302732
2,67.0,-3.0242795944213867,-0.8722912669181824,-3.1394131183624268,-1.1804778575897217,-3.0945926,-1.2255938
3,100.0,-3.0242795944213867,-0.8722912669181824,-3.1577835083007812,-1.3293945789337158,-3.1005316,-1.2353547
4,133.0,-3.0242795944213867,-0.8722912669181824,-3.2622554302215576,-1.189106822013855,-3.1161609,-1.2308896
5,167.0,-3.0242795944213867,-0.8722912669181824,-3.1575279235839844,-1.388327956199646,-3.1200473,-1.2457008
6,200.0,-3.0242795944213867,-0.8722912669181824,-3.138805389404297,-1.2602990865707397,-3.1218095,-1.2470721
7,233.0,-3.0242795944213867,-0.8722912669181824,-3.068263292312622,-1.1879992485046387,-3.1166384,-1.2413676
8,267.0,-3.0242795944213867,-0.8722912669181824,-3.245759963989258,-1.3324345350265503,-3.1287808,-1.249929
9,300.0,-3.0242795944213867,-0.8722912669181824,-3.161360740661621,-1.4544702768325806,-3.1318417,-1.2691777
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.9674296379089355,-5.0090837478637695,-3.1159477,-1.6426022
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.3422927856445312,-6.756847381591797,-3.0427434,-2.1446934
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.354191780090332,-6.650485992431641,-2.9776804,-2.5833595
13,433.0,-3.0242795944213867,-0.8722912669181824,-2.285585403442383,-6.582292556762695,-2.91052,-2.9805934
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.2039856910705566,-6.439365386962891,-2.8437967,-3.3129702
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.593116521835327,-6.054719924926758,-2.8202312,-3.5744963
16,533.0,-3.0242795944213867,-0.8722912669181824,-3.033862352371216,-2.602782964706421,-2.84092,-3.478889
17,567.0,-3.0242795944213867,-0.8722912669181824,-3.0457255840301514,-1.8306915760040283,-2.860216,-3.320432
18,600.0,-3.0242795944213867,-0.8722912669181824,-2.959393262863159,-1.8942869901657104,-2.8695478,-3.1839423
19,633.0,-3.0242795944213867,-0.8722912669181824,-3.0165903568267822,-1.5802949666976929,-2.8837657,-3.0263293
20,667.0,-3.0242795944213867,-0.8722912669181824,-3.0185353755950928,-1.5395045280456543,-2.8964458,-2.8844738
21,700.0,-3.0242795944213867,-0.8722912669181824,-3.1469011306762695,-1.6094709634780884,-2.920032,-2.7632291
22,733.0,-3.0242795944213867,-0.8722912669181824,-3.0751395225524902,-1.453145980834961,-2.9350219,-2.6353312
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.981415271759033,-1.3054273128509521,-2.939381,-2.5090296
24,800.0,-3.0242795944213867,-0.8722912669181824,-2.9287424087524414,-1.5955899953842163,-2.9383814,-2.4226768
25,833.0,-3.0242795944213867,-0.8722912669181824,-2.9117836952209473,-1.4544727802276611,-2.935814,-2.3286242
26,867.0,-3.0242795944213867,-0.8722912669181824,-2.9894306659698486,-1.7914156913757324,-2.9408524,-2.2780464
27,900.0,-3.0242795944213867,-0.8722912669181824,-3.0660552978515625,-2.99344539642334,-2.9526258,-2.3458803
28,933.0,-3.0242795944213867,-0.8722912669181824,-2.1554665565490723,-3.9484241008758545,-2.8751085,-2.5031116
29,967.0,-3.0242795944213867,-0.8722912669181824,-1.9921749830245972,-3.8762214183807373,-2.7915177,-2.6337912
30,1000.0,-3.0242795944213867,-0.8722912669181824,-2.2728111743927,-2.559673547744751,-2.7426045,-2.6268187
