,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0310399532318115,-0.6694319248199463,-3.019289016723633,-1.6160740852355957,-3.0163825,-1.5654459
1,33.0,-3.0310399532318115,-0.6694319248199463,-2.937033176422119,-1.2857705354690552,-3.0087192,-1.5383838
2,67.0,-3.0310399532318115,-0.6694319248199463,-3.009962797164917,-1.1531965732574463,-3.008836,-1.5020766
3,100.0,-3.0310399532318115,-0.6694319248199463,-3.0953962802886963,-1.1519883871078491,-3.016974,-1.4690969
4,133.0,-3.0310399532318115,-0.6694319248199463,-3.1728718280792236,-1.0620989799499512,-3.0320406,-1.4296933
5,167.0,-3.0310399532318115,-0.6694319248199463,-3.0843098163604736,-1.521093487739563,-3.0369523,-1.4382932
6,200.0,-3.0310399532318115,-0.6694319248199463,-3.1545183658599854,-1.2229095697402954,-3.0480063,-1.4180324
7,233.0,-3.0310399532318115,-0.6694319248199463,-3.037889242172241,-1.1098215579986572,-3.0470295,-1.3882219
8,267.0,-3.0310399532318115,-0.6694319248199463,-2.9021408557891846,-1.2668113708496094,-3.0333986,-1.376813
9,300.0,-3.0310399532318115,-0.6694319248199463,-3.014779567718506,-1.0137356519699097,-3.0316494,-1.3426157
10,333.0,-3.0310399532318115,-0.6694319248199463,-3.0969150066375732,-1.1775422096252441,-3.0379517,-1.3266742
11,367.0,-3.0310399532318115,-0.6694319248199463,-2.971827983856201,-1.0520282983779907,-3.0317364,-1.3008304
12,400.0,-3.0310399532318115,-0.6694319248199463,-2.9628541469573975,-1.3168656826019287,-3.0252619,-1.3023381
13,433.0,-3.0310399532318115,-0.6694319248199463,-3.072683572769165,-1.2807422876358032,-3.0298407,-1.3002529
14,467.0,-3.0310399532318115,-0.6694319248199463,-2.886298894882202,-1.1519016027450562,-3.016339,-1.2863067
15,500.0,-3.0310399532318115,-0.6694319248199463,-2.860166311264038,-1.2351866960525513,-3.001649,-1.2815042
