,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-2.7980456352233887,-1.7687166929244995,-2.9004695,-1.866272
1,33.0,-3.0242795944213867,-0.8722912669181824,-2.8748619556427,-1.9665257930755615,-2.8979979,-1.875957
2,67.0,-3.0242795944213867,-0.8722912669181824,-2.8372113704681396,-1.533316969871521,-2.8922853,-1.8436671
3,100.0,-3.0242795944213867,-0.8722912669181824,-2.9641897678375244,-1.4298900365829468,-2.899045,-1.8046571
4,133.0,-3.0242795944213867,-0.8722912669181824,-2.83117413520813,-1.2893033027648926,-2.8924913,-1.7547076
5,167.0,-3.0242795944213867,-0.8722912669181824,-2.915501356124878,-1.5245857238769531,-2.8946533,-1.7330617
6,200.0,-3.0242795944213867,-0.8722912669181824,-2.802142858505249,-1.3451027870178223,-2.8859565,-1.696516
7,233.0,-3.0242795944213867,-0.8722912669181824,-2.776108980178833,-1.5426172018051147,-2.875346,-1.6816568
8,267.0,-3.0242795944213867,-0.8722912669181824,-2.7189295291900635,-1.400467872619629,-2.8606339,-1.6551977
9,300.0,-3.0242795944213867,-0.8722912669181824,-2.751909017562866,-1.2819995880126953,-2.850413,-1.6200521
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.747424840927124,-1.2168368101119995,-2.8404672,-1.5810341
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.9366776943206787,-1.2295185327529907,-2.849516,-1.5479444
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.8780345916748047,-1.2364811897277832,-2.852196,-1.5186377
13,433.0,-3.0242795944213867,-0.8722912669181824,-2.8080203533172607,-1.2703913450241089,-2.8479319,-1.4946545
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.7984654903411865,-1.295938491821289,-2.843284,-1.475976
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.784393310546875,-1.299788236618042,-2.8377497,-1.4594176
16,533.0,-3.0242795944213867,-0.8722912669181824,-2.9421589374542236,-1.3385980129241943,-2.8478374,-1.4477571
17,567.0,-3.0242795944213867,-0.8722912669181824,-2.8858859539031982,-1.1680493354797363,-2.851413,-1.4214395
18,600.0,-3.0242795944213867,-0.8722912669181824,-2.8217647075653076,-1.278307318687439,-2.848627,-1.4079901
19,633.0,-3.0242795944213867,-0.8722912669181824,-2.719297170639038,-1.3503272533416748,-2.8361316,-1.4024229
20,667.0,-3.0242795944213867,-0.8722912669181824,-2.7433269023895264,-1.1101442575454712,-2.8274076,-1.374915
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.924755811691284,-1.500732183456421,-2.8365617,-1.3867581
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.926020383834839,-1.4486033916473389,-2.845203,-1.3927339
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.911073923110962,-1.1452040672302246,-2.8513942,-1.3694395
24,800.0,-3.0242795944213867,-0.8722912669181824,-2.899245500564575,-1.1978211402893066,-2.8558908,-1.353302
25,833.0,-3.0242795944213867,-0.8722912669181824,-2.8950819969177246,-1.1614922285079956,-2.859674,-1.3347692
26,867.0,-3.0242795944213867,-0.8722912669181824,-2.86386775970459,-1.5266304016113281,-2.860068,-1.3528359
27,900.0,-3.0242795944213867,-0.8722912669181824,-2.8491194248199463,-1.3884782791137695,-2.8590393,-1.3561864
28,933.0,-3.0242795944213867,-0.8722912669181824,-2.7934329509735107,-1.3395416736602783,-2.8527036,-1.3545798
29,967.0,-3.0242795944213867,-0.8722912669181824,-2.867401361465454,-1.3647785186767578,-2.8540845,-1.3555381
30,1000.0,-3.0242795944213867,-0.8722912669181824,-2.7774441242218018,-1.3360648155212402,-2.84688,-1.3537089
31,1033.0,-3.0242795944213867,-0.8722912669181824,-2.784644365310669,-1.277050256729126,-2.8408706,-1.3463069
32,1067.0,-3.0242795944213867,-0.8722912669181824,-2.8808681964874268,-1.3497912883758545,-2.8446295,-1.3466343
33,1100.0,-3.0242795944213867,-0.8722912669181824,-3.1362876892089844,-1.9117770195007324,-2.8721027,-1.4000125
34,1133.0,-3.0242795944213867,-0.8722912669181824,-3.193957567214966,-1.924928903579712,-2.9032516,-1.4509052
35,1167.0,-3.0242795944213867,-0.8722912669181824,-1.8712745904922485,-2.325775384902954,-2.8053339,-1.5337126
36,1200.0,-3.0242795944213867,-0.8722912669181824,-1.7715299129486084,-2.4942898750305176,-2.70732,-1.6246573
37,1233.0,-3.0242795944213867,-0.8722912669181824,-3.310023069381714,-2.595263957977295,-2.7658756,-1.7190237
38,1267.0,-3.0242795944213867,-0.8722912669181824,-3.0561792850494385,-1.583256721496582,-2.7932324,-1.7062278
39,1300.0,-3.0242795944213867,-0.8722912669181824,-2.9893414974212646,-1.634161353111267,-2.8116908,-1.6994426
40,1333.0,-3.0242795944213867,-0.8722912669181824,-2.9246952533721924,-1.6430575847625732,-2.8226078,-1.6939913
41,1367.0,-3.0242795944213867,-0.8722912669181824,-2.8631205558776855,-1.2493888139724731,-2.8264143,-1.6520102
42,1400.0,-3.0242795944213867,-0.8722912669181824,-2.7791359424591064,-1.1925485134124756,-2.8219707,-1.6086416
43,1433.0,-3.0242795944213867,-0.8722912669181824,-2.700357675552368,-1.1129802465438843,-2.8102202,-1.5605811
44,1467.0,-3.0242795944213867,-0.8722912669181824,-2.6962826251983643,-1.1148717403411865,-2.7995067,-1.51855
45,1500.0,-3.0242795944213867,-0.8722912669181824,-2.690728187561035,-1.0860140323638916,-2.7892795,-1.4777775
46,1533.0,-3.0242795944213867,-0.8722912669181824,-2.746351480484009,-1.0982537269592285,-2.7851357,-1.4410497
47,1567.0,-3.0242795944213867,-0.8722912669181824,-2.7355549335479736,-1.1069766283035278,-2.780477,-1.4095992
