,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-2.7624318599700928,-1.0957032442092896,-2.748551,-1.0935781
1,33.0,-3.0242795944213867,-0.8722912669181824,-2.7932167053222656,-1.132339358329773,-2.7528632,-1.0973201
2,67.0,-3.0242795944213867,-0.8722912669181824,-2.7663707733154297,-1.0820010900497437,-2.754132,-1.0958807
3,100.0,-3.0242795944213867,-0.8722912669181824,-2.779982805252075,-1.0968080759048462,-2.7565608,-1.0959679
4,133.0,-3.0242795944213867,-0.8722912669181824,-2.729689598083496,-1.092164158821106,-2.7539668,-1.0956007
5,167.0,-3.0242795944213867,-0.8722912669181824,-2.838186740875244,-1.073954701423645,-2.761884,-1.093567
6,200.0,-3.0242795944213867,-0.8722912669181824,-2.779630184173584,-1.0563936233520508,-2.763551,-1.090074
7,233.0,-3.0242795944213867,-0.8722912669181824,-2.932302951812744,-1.0386888980865479,-2.779861,-1.0851128
8,267.0,-3.0242795944213867,-0.8722912669181824,-2.768949508666992,-1.0807435512542725,-2.7788358,-1.0847024
9,300.0,-3.0242795944213867,-0.8722912669181824,-2.7583518028259277,-1.0947171449661255,-2.776911,-1.0856432
10,333.0,-3.0242795944213867,-0.8722912669181824,-2.8118977546691895,-1.1039425134658813,-2.7802882,-1.0874095
11,367.0,-3.0242795944213867,-0.8722912669181824,-2.828108310699463,-1.313873052597046,-2.7847817,-1.108728
12,400.0,-3.0242795944213867,-0.8722912669181824,-2.7994213104248047,-1.0885564088821411,-2.7861567,-1.1068326
13,433.0,-3.0242795944213867,-0.8722912669181824,-2.800443649291992,-1.0945942401885986,-2.7875354,-1.1056514
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.8412508964538574,-1.2927279472351074,-2.792583,-1.1232538
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.6104965209960938,-1.1807917356491089,-2.7754474,-1.1286603
16,533.0,-3.0242795944213867,-0.8722912669181824,-2.8276758193969727,-1.1815171241760254,-2.7804902,-1.1337627
17,567.0,-3.0242795944213867,-0.8722912669181824,-2.843348979949951,-1.183194875717163,-2.7863982,-1.1384072
18,600.0,-3.0242795944213867,-0.8722912669181824,-2.9198031425476074,-1.1981090307235718,-2.7989442,-1.1440172
19,633.0,-3.0242795944213867,-0.8722912669181824,-2.7572946548461914,-1.1528546810150146,-2.7949226,-1.1448702
20,667.0,-3.0242795944213867,-0.8722912669181824,-2.7989253997802734,-1.253704309463501,-2.7952986,-1.1551019
21,700.0,-3.0242795944213867,-0.8722912669181824,-2.733778953552246,-1.2016892433166504,-2.789516,-1.1594789
22,733.0,-3.0242795944213867,-0.8722912669181824,-2.7295870780944824,-1.1822903156280518,-2.783729,-1.1616803
23,767.0,-3.0242795944213867,-0.8722912669181824,-2.855545997619629,-1.239527940750122,-2.79048,-1.1689967
24,800.0,-3.0242795944213867,-0.8722912669181824,-3.007858991622925,-1.3335773944854736,-2.8109405,-1.184477
