,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0310399532318115,-0.6694319248199463,-3.0438802242279053,-1.338553786277771,-3.0568624,-1.4441819
1,33.0,-3.0310399532318115,-0.6694319248199463,-3.0530712604522705,-1.7559651136398315,-3.0564964,-1.4743611
2,67.0,-3.0310399532318115,-0.6694319248199463,-2.995300531387329,-1.3500494956970215,-3.0507448,-1.4626684
3,100.0,-3.0310399532318115,-0.6694319248199463,-2.909750461578369,-1.6420730352401733,-3.0374837,-1.4795485
4,133.0,-3.0310399532318115,-0.6694319248199463,-3.0861401557922363,-1.2810561656951904,-3.0421822,-1.460354
5,167.0,-3.0310399532318115,-0.6694319248199463,-3.1135590076446533,-1.65896737575531,-3.048892,-1.4790456
6,200.0,-3.0310399532318115,-0.6694319248199463,-3.018256902694702,-1.6898143291473389,-3.0460136,-1.4988807
7,233.0,-3.0310399532318115,-0.6694319248199463,-3.021949529647827,-1.4617259502410889,-3.043691,-1.4952929
8,267.0,-3.0310399532318115,-0.6694319248199463,-3.0490314960479736,-1.6811224222183228,-3.0441926,-1.5127759
9,300.0,-3.0310399532318115,-0.6694319248199463,-2.929124593734741,-1.6207109689712524,-3.0333724,-1.522922
10,333.0,-3.0310399532318115,-0.6694319248199463,-3.041912078857422,-1.599088430404663,-3.0341969,-1.5302755
11,367.0,-3.0310399532318115,-0.6694319248199463,-2.9587624073028564,-1.5587091445922852,-3.0271063,-1.5329465
12,400.0,-3.0310399532318115,-0.6694319248199463,-2.96435284614563,-1.5785552263259888,-3.0212088,-1.5372312
13,433.0,-3.0310399532318115,-0.6694319248199463,-2.8496062755584717,-1.283077359199524,-3.004624,-1.5126389
14,467.0,-3.0310399532318115,-0.6694319248199463,-2.8683202266693115,-1.6866410970687866,-2.991807,-1.5290099
15,500.0,-3.0310399532318115,-0.6694319248199463,-2.8257219791412354,-2.0268659591674805,-2.9761863,-1.5759878
16,533.0,-3.0310399532318115,-0.6694319248199463,-2.8807547092437744,-1.7578579187393188,-2.9669719,-1.5935606
17,567.0,-3.0310399532318115,-0.6694319248199463,-3.003068685531616,-1.6792562007904053,-2.970365,-1.6016124
18,600.0,-3.0310399532318115,-0.6694319248199463,-3.0252268314361572,-1.498322606086731,-2.9755225,-1.5918956
19,633.0,-3.0310399532318115,-0.6694319248199463,-2.93927264213562,-1.2627469301223755,-2.9720235,-1.5600219
20,667.0,-3.0310399532318115,-0.6694319248199463,-2.9554007053375244,-1.2410578727722168,-2.970462,-1.5299689
21,700.0,-3.0310399532318115,-0.6694319248199463,-3.1950466632843018,-1.9733234643936157,-2.9916065,-1.5717974
22,733.0,-3.0310399532318115,-0.6694319248199463,-3.0457940101623535,-1.6704003810882568,-2.9968383,-1.5813204
23,767.0,-3.0310399532318115,-0.6694319248199463,-2.9209823608398438,-1.4314165115356445,-2.9897072,-1.5672165
24,800.0,-3.0310399532318115,-0.6694319248199463,-3.072129487991333,-1.6797822713851929,-2.9974556,-1.577801
25,833.0,-3.0310399532318115,-0.6694319248199463,-2.9079501628875732,-1.494258999824524,-2.98881,-1.5697312
26,867.0,-3.0310399532318115,-0.6694319248199463,-3.1260499954223633,-1.3882777690887451,-3.0017185,-1.5526567
27,900.0,-3.0310399532318115,-0.6694319248199463,-3.043978691101074,-1.5887473821640015,-3.0056896,-1.5560483
28,933.0,-3.0310399532318115,-0.6694319248199463,-3.0089216232299805,-1.6671756505966187,-3.0060015,-1.5667844
29,967.0,-3.0310399532318115,-0.6694319248199463,-3.0069305896759033,-1.8521305322647095,-3.0060887,-1.593659
30,1000.0,-3.0310399532318115,-0.6694319248199463,-3.0580503940582275,-1.5739754438400269,-3.0109718,-1.5918093
31,1033.0,-3.0310399532318115,-0.6694319248199463,-2.886159896850586,-1.7129231691360474,-2.9989116,-1.6035086
32,1067.0,-3.0310399532318115,-0.6694319248199463,-3.0193376541137695,-2.0239288806915283,-3.000831,-1.6431473
33,1100.0,-3.0310399532318115,-0.6694319248199463,-2.9011151790618896,-1.4826022386550903,-2.9914553,-1.6280363
34,1133.0,-3.0310399532318115,-0.6694319248199463,-3.0504424571990967,-2.126648426055908,-2.9971514,-1.6763651
35,1167.0,-3.0310399532318115,-0.6694319248199463,-2.953216314315796,-1.6518584489822388,-2.9930227,-1.6740611
36,1200.0,-3.0310399532318115,-0.6694319248199463,-3.0278093814849854,-1.7726866006851196,-2.9962914,-1.6833293
37,1233.0,-3.0310399532318115,-0.6694319248199463,-3.0589959621429443,-1.7091072797775269,-3.0023463,-1.6858176
38,1267.0,-3.0310399532318115,-0.6694319248199463,-2.989520311355591,-1.5120606422424316,-3.0011413,-1.6694624
39,1300.0,-3.0310399532318115,-0.6694319248199463,-2.9842164516448975,-1.1650900840759277,-2.9995513,-1.621849
40,1333.0,-3.0310399532318115,-0.6694319248199463,-3.0200462341308594,-1.6290709972381592,-3.0015295,-1.6225462
41,1367.0,-3.0310399532318115,-0.6694319248199463,-2.914811372756958,-1.680780291557312,-2.9933767,-1.6280202
42,1400.0,-3.0310399532318115,-0.6694319248199463,-2.8118438720703125,-1.9390431642532349,-2.976296,-1.6573238
43,1433.0,-3.0310399532318115,-0.6694319248199463,-2.9586639404296875,-1.24205482006073,-2.974594,-1.6170858
44,1467.0,-3.0310399532318115,-0.6694319248199463,-3.0714855194091797,-2.211982250213623,-2.9837055,-1.6732903
45,1500.0,-3.0310399532318115,-0.6694319248199463,-3.0696756839752197,-2.3557629585266113,-2.9917881,-1.7377918
46,1533.0,-3.0310399532318115,-0.6694319248199463,-2.981611967086792,-2.0832653045654297,-2.990806,-1.7712154
47,1567.0,-3.0310399532318115,-0.6694319248199463,-2.936011552810669,-1.8655565977096558,-2.9856563,-1.7800776
48,1600.0,-3.0310399532318115,-0.6694319248199463,-2.8599610328674316,-1.644638180732727,-2.9738357,-1.767329
49,1633.0,-3.0310399532318115,-0.6694319248199463,-2.8686020374298096,-1.3594859838485718,-2.9636712,-1.7277981
50,1667.0,-3.0310399532318115,-0.6694319248199463,-2.9875261783599854,-1.6665815114974976,-2.9659128,-1.7220436
51,1700.0,-3.0310399532318115,-0.6694319248199463,-2.985912799835205,-1.757367730140686,-2.967792,-1.7253627
52,1733.0,-3.0310399532318115,-0.6694319248199463,-3.159579277038574,-1.441353678703308,-2.9863358,-1.6978788
