,gt_ms,x_gt,y_gt,x_pre,y_pre,x_filtered,y_filtered
0,0.0,-3.0242795944213867,-0.8722912669181824,-2.942763090133667,-2.117475748062134,-2.8152986,-2.0868144
1,33.0,-3.0242795944213867,-0.8722912669181824,-3.167154550552368,-1.7563536167144775,-2.8493629,-2.0548236
2,67.0,-3.0242795944213867,-0.8722912669181824,-3.035656690597534,-1.785203456878662,-2.8668869,-2.0294385
3,100.0,-3.0242795944213867,-0.8722912669181824,-3.180325746536255,-1.3954081535339355,-2.896404,-1.9695483
4,133.0,-3.0242795944213867,-0.8722912669181824,-3.11879301071167,-1.7566964626312256,-2.9178982,-1.9489819
5,167.0,-3.0242795944213867,-0.8722912669181824,-3.2175660133361816,-1.6681734323501587,-2.9461086,-1.9225557
6,200.0,-3.0242795944213867,-0.8722912669181824,-3.2691707611083984,-1.2182633876800537,-2.9765246,-1.856017
7,233.0,-3.0242795944213867,-0.8722912669181824,-3.205942392349243,-1.4740066528320312,-2.9986935,-1.8190641
8,267.0,-3.0242795944213867,-0.8722912669181824,-3.1456730365753174,-1.3539268970489502,-3.012507,-1.7752372
9,300.0,-3.0242795944213867,-0.8722912669181824,-3.1668388843536377,-1.4839590787887573,-3.0270128,-1.7478399
10,333.0,-3.0242795944213867,-0.8722912669181824,-3.1162078380584717,-1.3563097715377808,-3.035621,-1.7099686
11,367.0,-3.0242795944213867,-0.8722912669181824,-3.0509982109069824,-1.6165516376495361,-3.0370662,-1.7011886
12,400.0,-3.0242795944213867,-0.8722912669181824,-3.1240274906158447,-1.6176928281784058,-3.0452363,-1.6933417
13,433.0,-3.0242795944213867,-0.8722912669181824,-3.1066091060638428,-1.8031538724899292,-3.0511591,-1.7039617
14,467.0,-3.0242795944213867,-0.8722912669181824,-2.8519575595855713,-1.9892125129699707,-3.0324025,-1.7308508
15,500.0,-3.0242795944213867,-0.8722912669181824,-2.8588383197784424,-2.1368656158447266,-3.0160675,-1.7691536
16,533.0,-3.0242795944213867,-0.8722912669181824,-3.1118595600128174,-1.911409616470337,-3.0253193,-1.7829018
